ID,Title,Description,Status,Name,Created At
3,no ,ethernet,Closed,hello,2024-10-03T16:06:28.781878
4,no ,ethernet,Closed,hello,2024-10-03T16:11:40.391451
5,p,kl;,Closed,o,2024-10-03T16:11:55.828708
6,iuip,kl;7889,Closed,oiuu,2024-10-03T16:14:50.818022
7,power,erer,Closed,dave,2024-10-04T11:21:12.855949
8,power,erer,Closed,dave,2024-10-04T11:21:16.218813
9,power,erer,Closed,dave,2024-10-04T11:22:16.622182
10,network,no ethernet,Closed,hello,2024-10-04T11:25:09.160166
11,microsoft expire,please install,Closed,edalyn,2024-10-04T11:34:22.430407
12,welding,help,Closed,henson mendoza,2024-10-04T11:35:04.912457
13,no ethernet,cant connect to the network,Closed,evelyn bornel,2024-10-04T11:49:02.994337
14,installation,install microsofft office,Closed,dc carlo,2024-10-04T15:01:26.639841
15,fdgds,dfgdf,Closed,fdgfd,2024-10-04T15:22:19.308829
16,fdgds,dfgdf,Closed,fdgfd,2024-10-04T15:22:22.984034
17,fdgds,dfgdf,Closed,fdgfd,2024-10-04T15:22:26.262715
18,fdgds,dfgdf,Closed,fdgfd,2024-10-04T15:22:32.912490
20,fdgds,dfgdf,Closed,fdgfd,2024-10-04T15:29:36.063106
21,fdgds,dfgdf,Closed,fdgfd,2024-10-04T15:29:36.859863
22,fdgds,dfgdf,Closed,fdgfd,2024-10-04T15:29:36.264204
23,fdgds,dfgdf,Closed,fdgfd,2024-10-04T15:29:42.970450
24,fdgds,dfgdf,Closed,fdgfd,2024-10-04T23:44:26.575895
25,fdgds,dfgdf,Closed,fdgfd,2024-10-04T23:46:41.803030
26,fdgds,dfgdf,Closed,fdgfd,2024-10-04T23:46:44.272134
27,fdgds,dfgdf,Closed,fdgfd,2024-10-04T23:46:46.764772
28,no ethernet,putol gaud ang wire or sala si laag,Closed,angie,2024-10-07T11:42:57.758206
29,installation,fdsfds,Closed,angie,2024-10-07T11:45:17.775670
30,installation,fdsfds,Open,angie,2024-10-07T13:11:38.593764
31,installation,fdsfds,Open,angie,2024-10-08T10:10:29.026588
